REGIONID,DUID,AssetType,SiteName,Owner,TechnologyType,FuelType
 NSW1 ,FINLYSF1,Existing Plant,Finley Solar Farm,Finley Solar Farm Pty Ltd as The trustee for Finley Solar Trust, Solar PV - Single axis tracking ,Solar - Solar
 TAS1 ,FISHER,Existing Plant,Fisher,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 NSW1 ,FLYCRKWF,Existing Plant,Flyers Creek Wind Farm,Flyers Creek Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,FNQ BESS 1 (KCI),Solquartz Holdings Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,FNQ BESS 2 (KCI),Solquartz Holdings Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,FNQ BESS 3 (KCI),Solquartz Holdings Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Forbes Solar Farm & BESS,Forbes Solar Farm Pty Ltd ATF Forbes Genesis Project Trust, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Forbes Solar Farm & BESS,Forbes Solar Farm Pty Ltd ATF Forbes Genesis Project Trust, Storage - Battery ,Other - Other
 NSW1 ,,Project,Forest Glen Solar Farm,X-Elio Roma Hub Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Forest Wind,CleanSight P/L, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Forsayth Wind Farm,Forsayth Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,FTVBESS,Project,Fosterville SF and BESS,FRV Services Australia, Storage - Battery ,Solar - Solar
 VIC1 ,FTVPV,Project,Fosterville SF and BESS,FRV Services Australia, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Fraser Coast Solar Park,FRASER COAST SOLAR PARK PTY LTD, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Frasers Solar Farm,Frasers Lane Development Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Fulham Solar Farm,Fulham Solar Farm Pty Ltd (ATF Fulham Solar Farm Trust), Storage - Battery ,Solar - Solar
 VIC1 ,,Project,Fulham Solar Farm,Fulham Solar Farm Pty Ltd (ATF Fulham Solar Farm Trust), Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Galore Energy Project - Solar And BESS - KCI,Utilacor P/L, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Galore Energy Project - Solar And BESS - KCI,Utilacor P/L, Storage - Battery ,Solar - Solar
 NSW1 ,,Project,Galore Hybrid Facility - Battery,NEMMCOTrina Projects Holding Australia Pty Ltd., Storage - Battery ,Other - Other
 NSW1 ,,Project,Galore Hybrid Facility - Solar,Trina Projects Holding Australia Pty Ltd., Solar PV - Fixed ,Solar - Solar
 QLD1 ,GANGARR1,Existing Plant,Gangarri Solar Farm,Shell New Energies Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,GANNB1,Existing Plant,Gannawarra Energy Storage System,GESS ProjectCo, Storage - Battery ,Other - Other
 VIC1 ,GANNSF1,Existing Plant,Gannawarra Solar Farm,Gannawarra Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Ganymirra Solar Power Station,Edify Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Ganymirra Solar Power Station,Edify Energy Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Garoo BESS,Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust, Storage - Battery ,Other - Other
 NSW1 ,,Project,Garoo Solar Farm,Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust, Solar PV - Fixed ,Solar - Solar
 QLD1 ,GBBATT1,Project,Gawara Baya Wind Farm,UPPER BURDEKIN WIND FARM PTY LTD, Storage - Battery ,Other - Other
 QLD1 ,GBWF1,Project,Gawara Baya Wind Farm,UPPER BURDEKIN WIND FARM PTY LTD, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Gayndah Wind Farm,Mainstream Renewable Power Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 TAS1 ,,Project,George Town BESS - KCI,Recurrent Energy, Storage - Battery ,Other - Other
 TAS1 ,,Project,George Town Wind Farm,West Coast Renewables, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,,Project,Geranium Plains Solar and BESS,Risen Energy (Australia) Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,,Project,Geranium Plains Solar and BESS,Risen Energy (Australia) Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,GERMCRK,Existing Plant,German Creek,EDL CSM Qld Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas
 QLD1 ,GERMCRK,Existing Plant,German Creek,EDL CSM Qld Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas
 NSW1 ,,Project,Gerogery Battery - KCI,Elgin Energy Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Gerogery Solar Farm - KCI,Elgin Energy Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Gidginbung,Epho, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Gin Gin BESS,Iberdrola Australia Development Pty Limited, Storage - Battery ,Other - Other
 QLD1 ,,Project,Gin Gin Solar Farm - KCI,EIWA Gin Gin Renewable Energy Park Pty Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,GIRGSF,Existing Plant,Girgarre Solar Farm,Giragarre Solar Farm Pty Ltd as trustee for Giragarre Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,GSTONE1,Existing Plant,Gladstone,Gladstone Power Station Participants, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,GSTONE2,Existing Plant,Gladstone,Gladstone Power Station Participants, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,GSTONE3,Existing Plant,Gladstone,Gladstone Power Station Participants, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,GSTONE4,Existing Plant,Gladstone,Gladstone Power Station Participants, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,GSTONE5,Existing Plant,Gladstone,Gladstone Power Station Participants, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,GSTONE6,Existing Plant,Gladstone,Gladstone Power Station Participants, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,,Project,Glanmire Solar Farm,Elgin Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Glanmire Solar Farm,Elgin Energy Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Glen Inness BESS - KCI,FIrm Power P/L, Storage - Battery ,Other - Other
 NSW1 ,,Existing Plant,Glenbawn,AGL, Hydro - Dam ,Hydro - Water
 VIC1 ,,Project,Glenbrae BESS,Acenergy, Storage - Battery ,Other - Other
 NSW1 ,,Project,Glenellen Solar Farm,Glenellen Solar Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,GLENMAG1,Existing Plant,Glenmaggie Hydro,Pacific Hydro Investments Pty Ltd, Hydro - Dam ,Hydro - Water
 NSW1 ,GLENNCRK,Existing Plant,Glennies Creek,EDL OCI Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas
 VIC1 ,,Project,Glenrowan BESS - Storage - KCI,Enervest Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Glenrowan BESS (KCI),Akaysha Energy, Storage - Battery ,Other - Other
 VIC1 ,GLENSF1,Existing Plant,Glenrowan Solar Farm,Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,GLRWNSF1,Existing Plant,Glenrowan West Solar Farm,Glenrowan Sun Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Gnarwarre BESS Facility,FRV SA Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Goat Hill Pumped Hydro,Altura Group, Storage - Pumped hydro ,Hydro - Water
 VIC1 ,,Project,Golden Plains BESS,Tag Energy Australia P/L, Storage - Battery ,Other - Other
 VIC1 ,GPWFEST1,Project,Golden Plains Wind Farm East,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,GPWFEST2,Project,Golden Plains Wind Farm East,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,GPWFEST3,Project,Golden Plains Wind Farm East,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Golden Plains Wind Farm West,Golden Plains WF2 Unit Trust, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,GOONSF1,Existing Plant,Goonumbla Solar Farm,Goonumbla Asset Co Pty Ltd as trustee for the Goonumbla Asset Trust, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Goorambat BESS (Lighthouse),Lightsource Development Services Australia, Other - Other ,Other - Other
 VIC1 ,,Project,Goorambat East Solar Farm (ENGIE),Engie, Solar PV - Single axis tracking ,Solar - Solar
 TAS1 ,GORDON,Existing Plant,Gordon,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Goulburn River Solar Farm And BESS,Goulburn River Fund Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Goulburn River Solar Farm And BESS,Goulburn River Fund Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Gould Creek BESS,Valent Energy, Storage - Battery ,Other - Other
 SA1 ,,Project,Goyder BESS,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Goyder North Renewable Energy Facility,Neoen Australia, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,GSWF1A,Existing Plant,Goyder South Wind Farm 1A,Goyder Wind Farm 1A Pty Ltd as trustee for Goyder Wind Farm 1A Trust, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,GSWF1B1,Project,Goyder South Wind Farm 1B,Goyder Wind Farm 1B Pty Ltd as trustee for Goyder Wind Farm 1B Trust, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Grafton Rd BESS (KCI),Eku Energy Projects (Australia) Trust, Storage - Battery ,Other - Other
 VIC1 ,,Project,Grahamvale BESS - KCI,AE BESS 3 Pty Ltd as Trustee for AE BESS 3 Unit Trust, Storage - Battery ,Other - Other
 NSW1 ,GRANGEAV,Existing Plant,Grange Avenue,EDL LFG NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas
 NSW1 ,,Project,Granite Hills Wind Farm,Akuo Energy, Wind Turbine - Onshore ,Wind - Wind
 TAS1 ,GRANWF1,Existing Plant,Granville Harbour Wind Farm,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Great Eastern Offshore Wind - KCI,GIG Australian Offshore Wind Energy Holdings Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 TAS1 ,,Project,Great Lakes Battery,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other
 TAS1 ,,Project,Great Lakes BESS,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Great Western Battery Project,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Greater Gippsland Offshore Wind Project,Greater Gippsland OWP Project Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 VIC1 ,,Project,Greater Southern Offshore Wind - KCI,Greater Southern Offshore Wind Farm Project Co Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 QLD1 ,,Project,Green Poly BESS Project (KCI),Solquartz Holdings Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,GREENB1,Project,Greenbank BESS,CSE BESS Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Greenpulse BESS (KCI),Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust, Storage - Battery ,Solar - Solar
 NSW1 ,,Project,Greenpulse Solar Farm (KCI),Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Gregadoo Solar Farm,Gregadoo Solar Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Griffith BESS - KCI,Eku Energy Projects (Australia) Trust, Storage - Battery ,Other - Other
 NSW1 ,GRIFSF1,Existing Plant,Griffith Solar Farm,Griffith Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,GROSV1,Existing Plant,Grosvenor 1,EDL Projects Australia Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas
 QLD1 ,GROSV2,Project,Grosvenor 2 Waste Coal Mine Gas Power Station,EDL Projects Australia Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Coal Seam Methane
 QLD1 ,,Project,Group Linen - Maryborough,Group Linen, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Group Linen - Prince Charles,Group Linen, Solar PV - Fixed ,Solar - Solar
 TAS1 ,,Project,Guildford Wind Farm,ARK Energy Corporation Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Gullen Range Battery Energy System,goldwindaustralia_NR, Storage - Battery ,Other - Other
 NSW1 ,GULLRSF1,Existing Plant,Gullen Range Solar Farm,New Gullen Range Wind Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,GULLRWF1,Existing Plant,Gullen Range Wind Farm,New Gullen Range Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,GULLRWF1,Existing Plant,Gullen Range Wind Farm,New Gullen Range Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,GULLRWF2,Existing Plant,Gullen Range Wind Farm 2,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Gundary Solar Farm - KCI,Lightsource Development Services Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Gundary Solar Farm - KCI,Lightsource Development Services Australia Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Gunnedah BESS,Gunnedah Battery Subco Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Gunnedah East BESS (Green Leap) - KCI,Green Leap P/L, Storage - Battery ,Other - Other
 NSW1 ,GNNDHSF1,Existing Plant,Gunnedah Solar Farm,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Gunning Solar Farm (Canadian),Canadian Solar, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Gunning Solar Farm (Canadian),Canadian Solar, Storage - Battery ,Other - Other
 NSW1 ,GUNNING1,Existing Plant,Gunning Wind Farm,Gunning Wind Energy Developments, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,GUNNING1,Existing Plant,Gunning Wind Farm,Gunning Wind Energy Developments, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Gunsynd Solar Farm,ARP, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Gurambilbarra Energy Hub,365 Future Energy, Other - Other ,Other - Other
 NSW1 ,GUTHEGA,Existing Plant,Guthega,Snowy Hydro Ltd, Hydro - Dam ,Hydro - Water
 VIC1 ,,Project,GV Community Energy,GV Community Energy, Solar PV - Fixed ,Solar - Solar
 VIC1 ,HALAMRD1,Existing Plant,Hallam Road,LMS Energy Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas
 SA1 ,NBHWF1,Existing Plant,Hallett 4 North Brown Hill,Brown Hill North Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,BLUFF1,Existing Plant,Hallett 5 The Bluff WF,Eurus Energy, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,,Project,Hallett BESS,EnergyAustralia Hallett Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,AGLHAL,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,HALLWF1,Existing Plant,Hallett Stage 1 Brown Hill,Palisade Investment Partner Limited, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,HALLWF2,Existing Plant,Hallett Stage 2 Hallett Hill,Infrastructure Capital Group Limited, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Halys BESS - Iberdrola,IBERDROLA AUSTRALIA DEVELOPMENT PTY LIMITED, Storage - Battery ,Other - Other
 QLD1 ,,Project,Halys BESS (Akaysha),Halys BESS ProjectCo Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Halys BESS (X-Elio),X-Elio Australia Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Halys Hybrid Facility - BESS,Elements Green Australia Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Halys Hybrid Facility - Solar,Elements Green Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Halys to Chinchilla DCA Battery - KCI,UGL Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,HAMISF1,Existing Plant,Hamilton Solar Farm,Hamilton Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Hanworth BESS - KCI,Enervest Operations Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,HVWWPV1,Existing Plant,Happy Valley Reservoir,South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,HVWWBA1,Existing Plant,Happy Valley Reservoir,South Australian Water Corporation, Storage - Battery ,Other - Other
 QLD1 ,,Project,Harlin Solar Farm,Harlin Solar Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Harlin Solar Farm,Harlin Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Harrami Wind Farm,Mainstream, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,,Project,Harrogate BESS,Enel Green Power Australia Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Hastings Generation Site,Esso Australia Pty Ltd and BHP Petroleum (Bass Strait) Pty Ltd, Turbine - OCGT ,Fossil - N/A
 VIC1 ,,Project,Hastings Generation Site,Esso Australia Pty Ltd and BHP Petroleum (Bass Strait) Pty Ltd, Turbine - OCGT ,Fossil - N/A
 QLD1 ,,Project,Haughton BESS,Pacific Hydro Haughton Solar Farm Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,HAUGHT11,Existing Plant,Haughton Solar Farm Stage 1,Pacific Hydro Haughton Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Haughton Solar Farm Stage 2,Pacific Hydro Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Haunted Gully BESS - KCI,Vena Energy Services (Australia) Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,HD1WF1,Existing Plant,Hawkesdale Wind Farm,Hawkesdale Asset Pty Ltd as trustee for Hawkesdale Asset Trust, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Hay Sun Farm,Overland Sun Farming Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,HAYMSF1,Existing Plant,Hayman Solar Farm,The Hayman Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Hazeldean BESS - Storage - KCI,Enervest Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,HBESS1,Existing Plant,Hazelwood Battery Energy Storage System (HBESS),Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust, Storage - Battery ,Other - Other
 VIC1 ,,Project,Hazelwood BESS - KCI,Engie, Storage - Battery ,Other - Other
 VIC1 ,,Project,Hazelwood BESS (Ironwood) - KCI,International Power (Australia) Pty Ltd (trading as ENGIE), Storage - Battery ,Other - Other
 VIC1 ,,Project,Hazelwood North Solar Farm - KCI,Manthos Investments Pty Ltd, Solar PV - Fixed ,Solar - Solar
 SA1 ,,Project,Heathgate Resources Beverley mine - BESS,SunSHIFT, Storage - Battery ,Other - Other
 TAS1 ,,Project,Hellyer Wind Farm,ARK Energy Corporation Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Herries Range Wind Farm,Acciona Energy Global Australia, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Hexham,Wind Prospect WA Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,,Project,Highbury Pumped Hydro Energy Storage,Tilt Renewables, Storage - Pumped hydro ,Hydro - Water
 NSW1 ,,Project,Hills of Gold Wind Farm,Hills of Gold Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,HILLSTN1,Existing Plant,Hillston Sun Farm,Hillston Sun Farm Operations Pty Ltd ATF Hillston, Solar PV - Single axis tracking ,Solar - Solar
 TAS1 ,,Project,Hobart Show Grounds BESS,Gravitas, Storage - Battery ,Other - Other
 TAS1 ,,Project,Hollow Tree Wind Farm,Goldwind Australia, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Holloway BESS - KCI,Bushranger Project Pty Ltd., Storage - Battery ,Other - Other
 QLD1 ,,Project,Hookey Creek Hybrid - Solar And BESs - KCI,Zen Energy Future Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Hookey Creek Hybrid - Solar And BESs - KCI,Zen Energy Future Pty Ltd, Storage - Battery ,Solar - Solar
 QLD1 ,,Project,Hopeland BESS,Pacific Partnerships, Storage - Battery ,Other - Other
 QLD1 ,,Project,Hopeland Solar Farm,Hopeland Solar Farm Pty Ltd as trustee for the Hopeland Solar Farm Trust, Solar PV - Fixed ,Solar - Solar
 SA1 ,HPR1,Existing Plant,Hornsdale Power Reserve Unit 1,Hornsdale Power Reserve Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,HPR1,Existing Plant,Hornsdale Power Reserve Unit 1,Hornsdale Power Reserve Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,HDWF1,Existing Plant,Hornsdale Wind Farm Stage 1,HWF 1 Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,HDWF2,Existing Plant,Hornsdale Wind Farm Stage 2,HWF 2 Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,HDWF3,Existing Plant,Hornsdale Wind Farm Stage 3,HWF 3 Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Horsham BESS,ESCO Solar Farm 7 Trust, Storage - Battery ,Other - Other
 VIC1 ,,Project,Horsham Solar Farm,ESCO SOLAR FARM 7 PTY LTD, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,HUGSF1,Existing Plant,Hughenden Sun Farm,Hughenden Solar Pty Ltd as Trustee for Hughenden Solar Trust, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Hughes Road BESS,BayWA r.e Projects Australia Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Hume BESS,GSP Energy Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Hume Bess (ARIF),The Trustee for the ARIF Hume BESS Holdings Trust, Storage - Battery ,Other - Other
 NSW1 ,HUMENSW,Existing Plant,Hume Dam NSW,GSPOWER, Hydro - Dam ,Hydro - Water
 VIC1 ,HUMEV,Existing Plant,Hume Dam VIC,GSP Energy Pty Ltd, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Hunter Central Coast Offshore Energy (Wind),Energy Estate, Wind Turbine - Offshore ,Wind - Wind
 NSW1 ,HEZ1,Existing Plant,Hunter EconomicZone,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel
 NSW1 ,HUNTER1,Project,Hunter Power Station,Snowy Hydro Limited, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 NSW1 ,HUNTER2,Project,Hunter Power Station,Snowy Hydro Limited, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,,Project,Hydrogen Jobs Plan,Office of Hydrogen SA, Turbine - OCGT ,Other - Other
 SA1 ,,Project,Hydrogen Jobs Plan,Office of Hydrogen SA, Turbine - OCGT ,Other - Other
 VIC1 ,HLMSEW01,Existing Plant,HYMIVC06 Belgrave-Hallam Rd Micro Hydro,South East Water Corporation, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Ilford Green Energy Hub,brightnightpower_NR, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Ilford Green Energy Hub,brightnightpower_NR, Storage - Battery ,Solar - Solar
 NSW1 ,,Project,Ilford Green Energy Hub,brightnightpower_NR, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Illawarra Offshore Wind Farm,OceanEx Energy, Wind Turbine - Offshore ,Wind - Wind
 QLD1 ,,Project,Innes Park Solar Farm,Enerparc Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Inverleigh Solar Farm,TBA, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Inverleigh Wind Farm,Inverleigh Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Existing Plant,Invicta Mill,Haughton Sugar Company Pty Limited, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse
 QLD1 ,,Existing Plant,Invicta Mill,Haughton Sugar Company Pty Limited, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse
 QLD1 ,,Existing Plant,Invicta Mill,Haughton Sugar Company Pty Limited, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse
 QLD1 ,,Project,Isaac Wind Farm,Squadron Energy Services Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Existing Plant,ISIS Central Sugar Mill Co-generation Plant,SUSTAINABLE ENERGY INFRASTRUCTURE, Turbine - Steam Sub Critical ,Other - Other
