REGIONID,DUID,AssetType,SiteName,Owner,TechnologyType,FuelType
 NSW1 ,,Project,Belhaven Renewable Project,Vena Energy Services (Australia) Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Belhaven Renewable Project,Vena Energy Services (Australia) Pty Ltd, Storage - Battery ,Other - Other
 TAS1 ,BBTHREE1,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 TAS1 ,BBTHREE2,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 TAS1 ,BBTHREE3,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 NSW1 ,,Project,Bellambi Heights Renewables Project,Vena Energy, Storage - Battery ,Other - Other
 TAS1 ,,Project,Bellbay Wind Farm (Low Heads Wind Farm Stage 2),The Trustee for Equis Wind (Australia) LHWF2 Asset Trust, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Ben Bullen BESS,Tetris Energy, Storage - Battery ,Other - Other
 NSW1 ,,Project,Ben Bullen Solar Farm,Tetris Energy, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Ben Bullen Wind Farm,Tetris Energy, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Bendemeer Renewable Energy Hub - Solar - KCI,Athena Energy Australia (Holdings) Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Bendemeer Renewable Energy Hub - Storage - KCI,Athena Energy Australia (Holdings) Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Bendemeer Renewable Energy Hub - Wind - KCI,Athena Energy Australia (Holdings) Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Bennetts Creek BESS,Aries Energy Project Pty Ltd in its capacity as Trustee for the Aries Energy Project Trust, Storage - Battery ,Other - Other
 VIC1 ,,Project,Berrimal Wind Farm,Acciona Energy Australia Global, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Berrybank 1 BESS - Storage - KCI,Global Power Generation Australia Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,BRYB1WF1,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,BRYB2WF2,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Beryl BESS,Ratch-Australia Corporation, Storage - Battery ,Other - Other
 NSW1 ,BERYLSF1,Existing Plant,Beryl Solar Farm,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,BESS Finley,BESS Finley P/L, Storage - Battery ,Other - Other
 QLD1 ,,Project,Big G Pumped Hydro Project,BE Power, Storage - Pumped hydro ,Hydro - Water
 QLD1 ,,Project,Big T Pumped Hydro Project,BE Power, Storage - Pumped hydro ,Hydro - Water
 QLD1 ,,Project,Big-T Project,BE Power, Storage - Pumped hydro ,Hydro - Water
 VIC1 ,BIRKHG,Project,Birkins Solar Farm - Hydrogen - KCI,FRV Services Australia Pty Ltd, Other - Other ,Other - Other
 VIC1 ,BIRKPV,Project,Birkins Solar Farm - Solar - KCI,FRV Services Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,BIRKBESS,Project,Birkins Solar Farm - Storage - KCI,FRV Services Australia Pty Ltd, Storage - Battery ,Solar - Solar
 QLD1 ,,Project,Blackstone BESS,FIrm Power P/L, Storage - Battery ,Other - Other
 QLD1 ,,Project,Blackstone BESS 2 - KCI,FIrm Power P/L, Storage - Battery ,Other - Other
 SA1 ,,Project,Blacktop BESS - KCI,BESS Officer Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Blackwater Hybrid System,Blackwater Project Nominees Pty Ltd as trustee for the Blackwater Project Trust, Storage - Battery ,Solar - Solar
 QLD1 ,,Project,Blackwater Hybrid System,Blackwater Project Nominees Pty Ltd as trustee for the Blackwater Project Trust, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Blair Athol Solar Power Station,TerraCom Ltd, Solar PV - Fixed ,Solar - Solar
 SA1 ,,Project,Blanche BESS - KCI,Blanche BESS Pty Ltd as trustee for Blanche BESS Trust, Storage - Battery ,Other - Other
 QLD1 ,,Project,Blenheim BESS - KCI,Gatton Solar Farm Pty Ltd, Storage - Battery ,Solar - Solar
 QLD1 ,,Project,Blenheim Solar Farm - KCI,Gatton Solar Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Blind Creek Solar Farm and Battery Energy Storage System,Ms BCSF Holdings Pty Ltd as trustee for the Blind Creek Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Blind Creek Solar Farm and Battery Energy Storage System,Ms BCSF Holdings Pty Ltd as trustee for the Blind Creek Solar Farm Trust, Storage - Battery ,Solar - Solar
 NSW1 ,BLOWERNG,Existing Plant,Blowering,Snowy Hydro Ltd, Hydro - Dam ,Hydro - Water
 VIC1 ,,Project,Blue Mackerel North Off Shore Wind Farm,Arup Australia Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 QLD1 ,BLUEGSF1,Existing Plant,Bluegrass Solar Farm,X-Elio Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,BLYTHB1,Existing Plant,Blyth BESS,Blyth Battery P/L as trustee for Blyth Battery Trust, Storage - Battery ,Other - Other
 NSW1 ,BOCORWF1,Existing Plant,Boco Rock Wind Farm,South Pacific Power Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,BOCORWF1,Existing Plant,Boco Rock Wind Farm,South Pacific Power Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,BOCOROC2,Project,Boco Rock Wind Farm,South Pacific Power Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,BODWF1,Existing Plant,Bodangora Wind Farm,Bodangora Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Boggabri solar and storage project,Photon Energy, Storage - Battery ,Solar - Solar
 VIC1 ,MCKAY1,Existing Plant,Bogong / Mackay,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 VIC1 ,MCKAY1,Existing Plant,Bogong / Mackay,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Boiling Down BESS,Hanwha Energy Australia Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,BOLIVPS1,Existing Plant,Bolivar Power Station,Iberdrola Australia Energy Markets Pty Limited, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,BOWWPV1,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar
 SA1 ,BOWWBA1,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation, Storage - Battery ,Other - Other
 SA1 ,,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Biogas
 QLD1 ,,Project,Boma Solar Farm,Solis Industria, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,BOMENSF1,Existing Plant,Bomen Solar Farm,Spark Infrastructure Holdings No. 6 Pty Limited, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Bonnie Brae Hybrid Plant,Barathrum Energy Pty Ltd, Storage - Battery ,Solar - Solar
 NSW1 ,,Project,Bonshaw Solar Farm,GAIA Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Bookaar Solar Farm,Infinergy Australia Pty ltd , Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Boomber Green Energy Hub,Boomer Green Energy Hub Pty Ltd (a subsidiary of the Ark Energy Group), Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Boomer Green Energy Hub,ARK Energy Corporation Pty Ltd, Other - Other ,Other - Other
 QLD1 ,,Project,Borumba,Queensland Hydro, Storage - Pumped hydro ,Hydro - Water
 QLD1 ,,Project,Boulder Creek Wind Farm,ARK Energy Corporation Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,BBATTERY1,Existing Plant,Bouldercombe Battery project,Genex Power Limited, Storage - Battery ,Other - Other
 QLD1 ,,Project,Bouldercombe Battery project - Stage 2 - KCI,Genex Power Limited, Storage - Battery ,Other - Other
 QLD1 ,,Project,Bouldercombe BESS - Quintas,Quintas Energy P/L, Storage - Battery ,Other - Other
 QLD1 ,,Project,Bouldercombe Solar Farm,EEW Eco Energy World Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Boulka Park BESS,The Trustee for X-ELIO BOULKA PARK TRUST, Storage - Battery ,Other - Other
 VIC1 ,,Project,Boulka Park Solar Farm,The Trustee for X-ELIO BOULKA PARK TRUST, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Bowen Basin Sun Farm - KCI,Bowen Basin Sun Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Bowen PHES - KCI,Blue Hydro Project Pty Ltd, Storage - Pumped hydro ,Hydro - Water
 NSW1 ,,Project,Bowmans Creek Wind Farm,ARK Energy Corporation Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Bracewell Energy Project,TotalEnergies Renewables Australia, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Bracewell Energy Project,TotalEnergies Renewables Australia, Storage - Battery ,Solar - Solar
 QLD1 ,BRAEMAR1,Existing Plant,Braemar,Braemar Power Project Pty Ltd, Turbine - OCGT ,Fossil - Coal Seam Methane
 QLD1 ,BRAEMAR2,Existing Plant,Braemar,Braemar Power Project Pty Ltd, Turbine - OCGT ,Fossil - Coal Seam Methane
 QLD1 ,BRAEMAR3,Existing Plant,Braemar,Braemar Power Project Pty Ltd, Turbine - OCGT ,Fossil - Coal Seam Methane
 QLD1 ,BRAEMAR5,Existing Plant,Braemar 2 Power Station,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd, Turbine - OCGT ,Fossil - Coal Seam Methane
 QLD1 ,BRAEMAR6,Existing Plant,Braemar 2 Power Station,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd, Turbine - OCGT ,Fossil - Coal Seam Methane
 QLD1 ,BRAEMAR7,Existing Plant,Braemar 2 Power Station,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd, Turbine - OCGT ,Fossil - Coal Seam Methane
 QLD1 ,,Project,Brendale BESS,Brendale Battery ProjectCo Pty Lt, Storage - Battery ,Other - Other
 QLD1 ,,Project,Brendale Supernode Data Centre and BESS Stage 1 And 2 (KCI),Quinbrook Infrastructure Partners Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Brendale Supernode Data Centre and BESS Stage 3 (KCI),Quinbrook Infrastructure Partners Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Brewongle Solar Farm,Photon Energy, Solar PV - Fixed ,Solar - Solar
 SA1 ,,Project,Bridle Track Solar Project,ACEN Renewables, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Brigalow GT (Kogan Creek GT),CSE H2 Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas
 SA1 ,,Project,Brinkworth BESS,Brinkworth Solar Farm Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Broadsound Solar Farm,Broadsound Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Broadsound_BESS,Broadsound Solar Farm Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,BWTR1,Existing Plant,Broadwater,Cape Byron Management PTY LTD, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Biomass
 NSW1 ,,Project,Brocklehurst Solar Farm,TBA, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Broken Creek Solar Farm - KCI,BSR EPC Pty Limited, Solar PV - Fixed ,Solar - Solar
 NSW1 ,BHB1,Existing Plant,Broken Hill,MACQGEN, Storage - Battery ,Other - Other
 NSW1 ,GB01,Existing Plant,Broken Hill GT,Transgrid, Turbine - OCGT ,Fossil - Diesel
 NSW1 ,BROKENH1,Existing Plant,Broken Hill Solar Plant,PARF Company 6 Pty Limited, Solar PV - Fixed ,Solar - Solar
 VIC1 ,BROOKLYN,Existing Plant,Brooklyn LFG U1-3,EDL LFG Vic Pty Ltd, Reciprocating Engine - Spark ignition ,Other - Other
 NSW1 ,BROWNMT,Existing Plant,Brown Mountain Hydro Power Station,Cochrane Dam Pty Ltd, Hydro - Dam ,Hydro - Water
 QLD1 ,BPLANDF1,Existing Plant,Browns Plains,EDL LFG (Qld) Pty Ltd, Reciprocating Engine - Spark ignition ,Other - Other
 QLD1 ,BPLANDF1,Existing Plant,Browns Plains,EDL LFG (Qld) Pty Ltd, Reciprocating Engine - Spark ignition ,Other - Other
 VIC1 ,BULBES1,Existing Plant,Bulgana Green Power Hub - BESS,Bulgana Wind Farm Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,BULGANA1,Existing Plant,Bulgana Green Power Hub - Wind Farm,Bulgana Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Bullawah Wind Farm – Stage 1,Bullawah Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
